,tweetid,favorite_count,retweet_count,lang,source,followers_count
133,865359393868664832,25253,4696,en,Twitter for iPhone,8784788
134,865006731092295680,26735,7219,en,Twitter for iPhone,8784788
135,864873206498414592,30797,8152,en,Twitter for iPhone,8784788
136,864279568663928832,13924,2838,en,Twitter for iPhone,8784788
137,864197398364647424,28647,8327,en,Twitter for iPhone,8784788
138,863907417377173506,19680,3893,en,Twitter for iPhone,8784788
139,863553081350529029,14597,3941,en,Twitter for iPhone,8784788
140,863471782782697472,0,2288,en,Twitter for iPhone,8784788
141,863432100342583297,22746,4944,en,Twitter for iPhone,8784788
142,863427515083354112,2105,89,en,Twitter for iPhone,8784788
143,863079547188785154,8408,1047,en,Twitter for iPhone,8784217
144,863062471531167744,8096,2288,en,Twitter for iPhone,8784788
145,862831371563274240,18378,4855,en,Twitter for iPhone,8784788
146,862722525377298433,16367,3340,en,Twitter for iPhone,8784788
147,862457590147678208,19585,4652,en,Twitter for iPhone,8784788
148,862096992088072192,71078,21835,en,Twitter for iPhone,8784788
149,861383897657036800,34582,10117,en,Twitter for iPhone,8784788
150,861288531465048066,16478,3910,en,Twitter for iPhone,8784788
151,861005113778896900,16033,3610,en,Twitter for iPhone,8784788
152,860981674716409858,0,2032,en,Twitter for iPhone,8784217
153,860924035999428608,0,759,en,Twitter for iPhone,8784788
154,860563773140209665,7194,2032,en,Twitter for iPhone,8784788
155,860524505164394496,22694,5033,en,Twitter for iPhone,8784788
156,860276583193509888,17654,3324,en,Twitter for iPhone,8784788
157,860184849394610176,16038,5546,en,Twitter for iPhone,8784788
158,860177593139703809,0,29337,in,Twitter for iPhone,8784788
159,859924526012018688,18835,3898,en,Twitter for iPhone,8784788
160,859851578198683649,14839,3334,en,Twitter for iPhone,8784788
161,859607811541651456,17919,1487,en,Twitter for iPhone,8784788
162,859196978902773760,86425,28644,en,Twitter for iPhone,8784788
163,859074603037188101,32559,12964,en,Twitter for iPhone,8784788
164,858860390427611136,0,7717,en,Twitter for iPhone,8784788
165,858843525470990336,15024,3320,en,Twitter for iPhone,8784788
166,858471635011153920,20731,4628,en,Twitter for iPhone,8784788
167,858107933456039936,15196,2771,en,Twitter for iPhone,8784788
168,857989990357356544,15539,2479,en,Twitter for iPhone,8784788
169,857746408056729600,33083,10146,en,Twitter for iPhone,8784788
170,857393404942143489,5692,1572,en,Twitter for iPhone,8784788
171,857263160327368704,19388,4323,en,Twitter for iPhone,8784788
172,857214891891077121,219,17,en,Twitter for iPhone,8784788
173,857062103051644929,0,162,en,Twitter for iPhone,8784788
174,857029823797047296,18232,3813,en,Twitter for iPhone,8784788
175,856543823941562368,15809,2768,en,Twitter for iPhone,8784788
176,856526610513747968,11505,1801,en,Twitter for iPhone,8784788
177,856330835276025856,0,646,en,Twitter for iPhone,8784788
